open_time,close,open,high,low,ignored,ret
2003-05-04,933.4,930.1,939.6,919.7,"0,35%",0.009671179883945946
2003-05-11,944.3,933.4,948.6,929.3,"1,17%",0.009578544061302763
2003-05-18,933.2,944.3,944.3,912.0,"-1,18%",-0.0045329959940966225
2003-05-25,963.6,933.2,965.4,927.3,"3,26%",0.022344593879063845
2003-06-01,987.8,963.6,1007.7,963.6,"2,51%",0.043816034804226245
2003-06-08,988.6,987.8,1002.7,972.6,"0,08%",-0.004961794184777268
2003-06-15,995.7,988.6,1015.3,988.6,"0,72%",0.01256607160666201
2003-06-22,976.2,995.7,995.7,973.8,"-1,96%",-0.019304639022948766
2003-06-29,985.7,976.2,995.0,962.1,"0,97%",-0.0007030229988952419
2003-07-06,998.1,985.7,1010.4,983.6,"1,26%",0.015477386934673376
2003-07-13,993.3,998.1,1015.4,978.6,"-0,48%",0.004948535233570972
2003-07-20,998.7,993.3,998.9,975.6,"0,54%",-0.0162497537916092
2003-07-27,980.1,998.7,1004.6,978.9,"-1,86%",0.00570627690459502
2003-08-03,977.6,980.1,985.8,960.8,"-0,26%",-0.018713915986462326
2003-08-10,990.7,977.6,992.5,974.2,"1,34%",0.0067965104483669325
2003-08-17,993.1,990.7,1011.0,990.7,"0,24%",0.018639798488665038
2003-08-24,1008.0,993.1,1008.9,983.6,"1,50%",-0.002077151335311611
2003-08-31,1021.4,1008.0,1029.3,1005.7,"1,33%",0.02022004162949753
2003-09-07,1018.6,1021.4,1032.4,1007.7,"-0,27%",0.003011755562032592
2003-09-14,1036.3,1018.6,1040.3,1013.6,"1,74%",0.007652072839984259
2003-09-21,996.9,1036.3,1036.3,996.1,"-3,80%",-0.003845044698644662
2003-09-28,1029.8,996.9,1039.3,990.4,"3,30%",0.002894914600019227
2003-10-05,1038.1,1029.8,1048.3,1026.2,"0,81%",0.008659674781102744
2003-10-12,1039.3,1038.1,1053.8,1036.6,"0,12%",0.005246589716684236
2003-10-19,1028.9,1039.3,1048.6,1018.3,"-1,00%",-0.004934522679825415
2003-10-26,1050.7,1028.9,1053.1,1028.9,"2,12%",0.004291436200648535
2003-11-02,1053.2,1050.7,1062.4,1044.9,"0,24%",0.008831070173772826
2003-11-09,1050.3,1053.2,1063.7,1043.5,"-0,28%",0.0012236445783131433
2003-11-16,1035.3,1050.3,1050.3,1031.2,"-1,43%",-0.012597536899501827
2003-11-23,1058.2,1035.3,1060.6,1035.3,"2,21%",0.009806721888984127
2003-11-30,1061.5,1058.2,1074.3,1058.2,"0,31%",0.012917216669809495
2003-12-07,1074.1,1061.5,1074.8,1053.4,"1,19%",0.00046541934282795516
2003-12-14,1088.7,1074.1,1091.1,1068.0,"1,36%",0.015165612206922141
2003-12-21,1095.9,1088.7,1098.5,1086.1,"0,66%",0.006782146457703364
2003-12-28,1108.5,1095.9,1118.8,1095.9,"1,15%",0.01847974510696404
2004-01-04,1121.9,1108.5,1131.9,1108.5,"1,21%",0.011708973900607988
2004-01-11,1139.8,1121.9,1139.8,1115.2,"1,60%",0.006979415142680301
2004-01-18,1141.5,1139.8,1150.5,1134.6,"0,15%",0.009387611861730205
2004-01-25,1131.1,1141.5,1155.4,1122.4,"-0,91%",0.004259017818339927
2004-02-01,1142.8,1131.1,1142.8,1124.4,"1,03%",-0.010905314176908543
2004-02-08,1145.8,1142.8,1158.9,1138.7,"0,26%",0.014088204410220628
2004-02-15,1144.1,1145.8,1159.0,1139.0,"-0,15%",8.628872206384308e-05
